stemmed,label
akun gopay blok,negatif
lambat sekali sekarang bosssku apk gojek kaya dulu,negatif
kenapa sih kemarin sy buka aplikasi gojek malah keluar sendiri terus kasih bintang dulu kalo sudah normal sy kasih bintang,netral
baru download gojek hape baru trus top u gopay transaksi dialfamart transaksi bloked transaksilaporan pusat bantu gak jelas tanya apa jawab lainlama lama gojek kelola tokopedia udah nyimpangapa gojek anak bangsa seperti dulu apa punya tokopedia,positif
mantap,positif
bagus,positif
coba dulu,netral
ok,netral
gimana kak pin salah terus padahal udah ubah masih salah,netral
biar aman kamu bisa pakai gojek uninstal biar aman,netral
kumpul driver sampah,netral
makin lama gojek makin ngga jelas susah banget dapet driver buat gofood ongkirnya juga mahal banget mohon baik,positif
ok mantap,positif
verry good,netral
aplikasi asuuu makin lama main gx jelas ais hrs aplikasi lgi mending pake aplikasi lain lebih akurat,netral
misi gojek jago gak jelas syarat selesai padahal udah jelas selesai misi beli voucher gpc k tapi masih gak anggap belum selesai,netral
sekarang aplikasi nya good job banyakin lagih yah promo nya,netral
mantap,positif
layan bagus,positif
gak jelas,netral
baik bagus,positif
sekarang go food ngga pernah ada promo ongkirnya makin mahal aja,netral
gojek akhir ngeselin driverny suka cancel seenakny,positif
bintang ngikut yg lain hhhh,netral
ok,netral
awesome fun,netral
bagus banget sumpahh wajib download,positif
nice,netral
banyak baru,netral
telah mluncur aplikasi shopeefood gofood agak ribetsemakin mahal banyak biaya tambahannyaapakah salah satu strategi marketing gojek biiar order via shopeefood,netral
oke,netral
good bintang,netral
lokasi harus cepat diupdate,positif
gojek oke,netral
payah jarang ada voucher semenjak bukan pak nadiem lagi,netral
bagus,positif
bagus,positif
ok,netral
terus tingkat layan gojek banyakin promonya banyakin cashback nya,netral
bagus,positif
banyak maling driver gosend kurir sial cuma nitip paket hp harga juta aja bawa kabur udah komplain cs jawab gak tau siapa identitas kurir aneh banget lu punya platform sudah hari belum ada respon lagi balikin duit gua lebih selektif utk terima calon driver jangan calon maling terima,positif
baik,positif
bagus,positif
driver area malang tolong tambah musih hujan sen kali dapat driver terus bikin kezell,netral
bagus banyak promo,positif
aplikasi knp masa pakai kuota data gak bisa guna harus pakai wifi emang semua tmpt ada wifiiianehhh banget aplikasi,netral
ok,netral
gojek sangat bantu aktifitas kami,positif
baik,positif
bebas macet pakai gojek,netral
baguss sekali apk,positif
gojek sekarang sepi driver,netral
order cepatn cepat sampen tdk nyasar,positif
kecewa gofood sekarang bisa lagi pakai voucer sekaligus voucer aplikasivoucer resto jadi tarik lagi naikin go club harap aplikasi bisa kembali seperti dulu,negatif
aplikasi gak bisa install,netral
bagus,positif
mari galbay pinjol supaya bangkrut supaya indonesia bebas riba,netral
maaf gw beri bintang dua kolom rokok gak ada habis upgrade,netral
baik,positif
sangat baik,positif
bagus banget buat top up game aman lagi tanpa halang,positif
mantap,positif
moga selalu jaga protokol sehat beri promo terusselalu utama selamat dalam kemudi,netral
rangin lagi potong driver sama restonya yaa kasi beli,netral
rute gofoodnya dijauhin biar biaya antar nambah makin lama makin mahal ngga ada diskon error sering banget customer service lama,negatif
ok,netral
guud,netral
gofood sudah bisa pakai minggu an kata ada pakai yg biasa padahal juga gapernag beri bintang kurang samsek pernah nge cancel kirain gegara down aplikasi tapi tetep aja,netral
manfaat,netral
sangat bantu dalam hidup hari hari,positif
biaya aplikasi aja gedein erorr mulu yg nga bisa chat ama driver nga bisa mesen layan payah payah,netral
cot,netral
aman sangat bantu,positif
ok,netral
kasih vocher dong gojek mana akun lama gak pernah kasih vocher gojek jangan pelit,netral
bagai cs driver cs sen makan cari drivernya yg gacor jd lama pilih yg jauh pun pun lama driver hari order cuma kasih biji gmna mau nafkahin istri maaf kalo sy alih dlu,netral
ongkirnya mahal banget ada promo atau voucher pake grab aja banyak promonya,netral
sanggat baik,positif
sangat bantu,positif
ok,netral
senang byk cashback nya kalau bs promo tetap lanjut terussssss,netral
mantap,positif
bhw nathal th baru semua bahagia tapi tetap laksana prokes ok,netral
makin mahal harga gak stabil naik enak gojek sendiri,netral
gojekangkutan murah riah,netral
kecewa sama gopay bisa transfer rekening atas jam bukan dompet digital kalah aplikasi dompet digital lain,negatif
sangat bantu,positif
top up bisa semua walet pakai kode qr sebab banyak orang punya lebih satu wallet,positif
cukup bagus,positif
jlek,netral
bagus sangat bantu sekali,positif
bagus,positif
bagus,positif
suksesss selalu for gojek,netral
oke,netral
ok,netral
top,positif
mes pizza datang ojek,netral
apkasinya bagus,positif
aplikasi jelek,negatif
very good,netral
fitur aplikasi sangat keren,netral
harga calon driver nya kali bolak balik kantor grab batamudah lengkap syarat tapi ngak bisa aktiforang ngojek sendiri update aplikasi harga orang lain,netral
unconnection,netral
bisa pesan gojek akun katnya mas lol sy hanya guna bkn driver yg kasih bintang skrng apliksi bisa buka hnya detik keluar sndiri sudah hapus data trus uninstal kmdian instal lagi sama saja mending hapus lama nya,netral
oke,netral
sangat bantu,positif
mudah,netral
sangat bagus,positif
y ev cz xc t exfx gawx weesc yg u bytlary lo,netral
tetep butuh,netral
ket xgoko e suri ds,netral
tiba tiba aplikasi eror padahal gopay mas ada isi sekarang mau download aja ngk bisa tolong min solusi,netral
good,netral
angga,netral
gausah peribet dah,netral
diperbaikin bugnya masukin nomor udah verifikasi akun aja bisa,positif
ok,netral
payah masa daftar dokumen bisa tarik uang dah tahun gak proses udah komplain kata hari selesai eh nyata gak ada lanjut protes lagi gak ada tanggap gimana makin ngacooooo hari apps error sen kurir jam set orang datang jam anjir kasihan bapak tau hadeh ngadi ngadi,negatif
gojek pokok terbaiksaran harus pakai guyss jujur alam ku pakai gojek lama naik grab mobil atau motor paling bagus layan hanya gojek sudah genap tahun pakai aplikasi terimakasih seluruh driver gojek indonesia kalian baik,positif
hthto,netral
biaa log in,netral
sangat bagus nyaman,positif
sistem sulit driver dapet drivernya jauh terus,netral
coba,netral
gotix sudah ada layan atau cuma saja,netral
nyari restonya gojek trus mesan pakai ojol lain yg lebih murah kalo daerah maxim ojol lokal lain daripada gojek tambah biaya banyak banget padahal sdah dapat potong driver resto tambah lgi biaya mesan harga makan minum jdi naik kalo beli hanya menu mending cari restonya gojek pesan pakai ojol lain yg lebih murah,netral
kagak bisa donlod gimana sih apk sudah gua hapusin semua wifi lncar msh aj bsa,netral
nyaman aman,netral
oke pokok,netral
halah promonya gajelas mending juga shopee food masa klik bisa,netral
uprgade gopay plus selalu gagal karena absah bagaimana,netral
kasih bintang gojek lambat nya atas problem lupa nomor handphone lama min bagaimana login akun gojek sedang nomor handphone lama sudah aktif hangus lupa nomor lama nya sudah gak tau nomor nya mana bingung sudah mau laporin tapi gak ada tanggap serius aplikasi gojek resah sekarang beda sama aplikasi belah lebih maju,negatif
ramah banget,netral
telah update bisa buka,netral
good,netral
good,netral
sangat bantu,positif
pakai promo gocar drivernya mau ambil tapi sisi drivernya juga gimana untung dgn harga segitu imbang sama bbmnya makanya daripada kecewa dua diilangin aja,negatif
keren pokok,netral
mantab,netral
aplikasi jelek mau login aja ribet,negatif
jangan pakai gopaylater denda jika telat bunga nya juga gede kata dulu cuman kena biaya admin saham kalo udah kaya pinjol,netral
aplikasi anj telat bayar gopay kata padahal tagih pas ditgl feb denda rb ngotak emang,netral
mudah aman,netral
daftar susah parah,negatif
ok,netral
keren,netral
cepat dapat mantap,positif
lebih praktis sih lebih aman juga aplikasi sangat manfaat,netral
layan bagus,positif
sangat mudah dalam guna aman,netral
baik,positif
mesen gofood ribet banget harga tera xxx begitu sen harus custom minimal harga malah nambah x lipat jelass,netral
budak orang buah sistem saat pepet harus update dahal bulan update bisa skip,netral
